Stars,Title,Description,label,Sentiment
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
5.0,"5.0 out of 5 stars
Eco 3gen",Ishe acha Kei nhi milaga..itna kimat maiMai v use kr raha hu bhi bouth he mast hai♥️❤️thnx amazon,OR,Neutral
3.0,"3.0 out of 5 stars
Not bad","Youtube video songs not play,some smart product not connect this alexa",OR,Negative
5.0,"5.0 out of 5 stars
Alexa",It's great I like this I am happy to purchase Alexa  😊😀😀,OR,Positive
4.0,"4.0 out of 5 stars
It's kinda glitching",I bought it and sadly there is something wrong with it when I tell to play a song example(chammak challo) or whatever it hears it wrong and plays some other songs but pretty much ok i think it might just be my product which has this problem,OR,Neutral
4.0,"4.0 out of 5 stars
VERY NICE",GOOD EXPERIANCE WITH PRODUCT AND GOOD VOICE,OR,Positive
5.0,"5.0 out of 5 stars
Great product","- Voice commands: It recognizes commands said in any way even in languages I didn't expect it to recognize. The results are immediately returned.- Sound quality: Excellent sound, very well balanced lows, mids and highs. The sound output feels surprisingly similar both next to the speaker as well as in other rooms.Overall, at Rs. 1499, I feel it's a great value for money.",OR,Neutral
5.0,"5.0 out of 5 stars
Good product",This is a good product for the use of normal,OR,Neutral
4.0,"4.0 out of 5 stars
Sound quality","Awesome product. Value for money. The sound quality is good, no need for an extended speakers for a 10x15 room.",OR,Neutral
5.0,"5.0 out of 5 stars
Nice quality",Loved the product,OR,Positive
1.0,"1.0 out of 5 stars
Certified Refurbished Echo Dot","Certified Refurbished Echo Dot :-1 Fequent wifi break,2.wifi not connecting.3.sound breakReal embarrassment with echo dot. First one purched in Amazon Dubai UAE, Second purched in amazon India with which is embarrassment.",OR,Neutral
