Title,Stars,Description,label,Sentiment
"5.0 out of 5 stars
All Rounder Performance",5.0 out of 5 stars,"This is my one week review.Pros:Display is smooth.Performance is at it's peak.Battery life is good, easily lasts 16 hours for moderate user and 7 hours for heavy usage.Charging speed is awesome.Fresh, Unique and Cool design.Good Camera Sensor.Cons:Lack of NFC in this price range.Build quality is okayish, could have been more sturdy.But adding plastic frame gives you light weight and no pain while using phone for long-time.Overall, this IQOO Neo 9 Pro is champ phone if you don't use NFC in your day to day life.",OR,Negative
"5.0 out of 5 stars
Best phone under 40k",5.0 out of 5 stars,"Pros1.Battery - 5160mah battery backup is awsome.It lasts for a full day on moderate usage.2.Charging-  Even though it comes with a 120w charger, phone doesn't get hot.it just gets slightly warm.It takes around 35 mins to charge fully3.Display - 1.5 k resolution display is just wow and crystal clear.Colors are more accurate.4.Camera - primary camera imx 920 clicks superb pictures in 1x and 2x and video recording is super stable at 4k 30fps and 1080p 60 fps.5.No heating issue - Doesn't get too hot even on heavy usage because of vapour chamber cooling.6.Speaker - It offers a dual stereo speaker setup which is loud enough and crystal clear while it's competitor V30 pro and Reno 11 pro are offering useless single bottom firing speaker which is loud but produces distorted audio.7.UFS 4.0 - installing apps and transferring files are ultra fast.8.Bezels - Bezels are too slim on all four sides and has more screen to body ratio.Cons1.Ultrawide camera - 8MP is not so good but clicks some decent pictures.2.Main camera - is good at 1x and 2x but loses details at 4x and 5x.3.Front camera - 16 MP camera cutout is too big.It produces decent pictures with good detailing and skin tone but don't expect too much.4.Phone is lightweight and can be handled with one hand but is too thick when used with a case.5.OS - Funtouch os may not be too good aesthetically compared to oxygen OS and Realme ui but has many customizations and features.Overall a Worth for money smartphone under 40kCompared to OnePlus 12r,Vivo V30 pro and Oppo Reno 11 pro.Go for it.The real flagship killer😍🥰🥳",OR,Negative
"4.0 out of 5 stars
Perfect flagship killer in the segment",4.0 out of 5 stars,"A perfect phone at this price range. The iQOO Neo 9 Pro is a mid-range flagship phone with a focus on performance. It has a powerful Snapdragon 8 Gen 2 processor up to 12GB of RAM and a 144Hz LTPO AMOLED display. Although 144 hz feature is only available for gaming. The camera system is decent, but not great, with a 50MP primary sensor and an 8MP ultra-wide sensor, the main 50 MP sensor is good enough for day to day nornal photography and 8 MP sensor is average, battery life is good, and the phone supports fast charging and the speed of charging is mesmerizing. The most important thing to mention that unlike other brands you will get 120W charger in the box which is best thing. Moreover, there are some pre-installed applications in the phone which I think don't need to be there. Overall, the iQOO Neo 9 Pro is a good option for gamers and power users who are looking for a phone with a lot of performance for the price.Here are some key pros and cons of the iQOO Neo 9 Pro:Pros: * Powerful performance * Smooth display * Good battery life * Fast chargingCons: * Average camera system * Not the cleanest user interface",OR,Neutral
"5.0 out of 5 stars
Best overall phone",5.0 out of 5 stars,"I am using this phone for the last 7 days and sharing my experience with the phoneLook & Feel-  I purchased leather back model which does not feel premium but the phone is lightweight and easy to hold. I prefer to have a lightweight phone over a premium feeling heavy phone so it's ok for me.Display- gorgeous and super smooth.lots of option to enhance the quality of display as per user's requirements.Performance - Undoubtedly performance is top notch.No hiccups whatsoever.UI- Very smooth and user friendly but lots of annoying notifications from various apps.But the good thing is that you can disable all the notifications from settings and uninstall unnecessary apps 👍👍Gaming - I am a casual gamer so can't comment on hardcore gaming performance.Camera- photos taken with primary camera is excellent ,both in day and night.It captures sufficient amount of details. Portrait photos are really good. Zoomed photos are not good...it lack details. Not impressed by the video quality....just ok for the price range.Audio- Loudspeakers are sufficiently loud and clear,bass is on the lower side.Sound through earphone is loud and clear with good bass and after some tweaks it's good to enjoy.Battery -I am a casual user and don't put the phone to much stress and for me the battery is very impressive.Battery draining in idle condition is also ok but could have been better.Heating - the phone does heat (not overheat ) in normal usage but that too I didn't expected from a phone claiming to be a gaming phone.Company must must solve the issue with update.Overall it's a good phone and if company through updates solve minor issues it will be the best phone under 40k",OR,Neutral
"5.0 out of 5 stars
True Flagship",5.0 out of 5 stars,"Perfect combination of Design and Performance:a). Performance: Snapdragon 8 Gen 2 provides a really seamless experience without any lag. Storage of 256GB was also one factor to go ahead with this.b). Design: i really like its refreshing dual tone leather design.c). Camera: it was exceptionally well even better than my expectations. night shots are really coming out good and the portrait is also amazing.Additionally, it has a very bright display and 120w fast charging which makes this a true flagship device.",OR,Neutral
"5.0 out of 5 stars
Go for it",5.0 out of 5 stars,"12/256. Very nice flagship killer, premium look, nice camera, praform very nicely any task, battery also good, sufficient for one day use, charging speed also very good, display very nice, UI Very simple. Overall good good 👍👍👍. I exchange with my moto g40, delivery person is very supportive person, he helped me very much.",CG,Neutral
"3.0 out of 5 stars
Like a hot toast of bread always",3.0 out of 5 stars,"I got the phone 1 week back . There are 2 things i like point out1, phone is always warm even on flight mode , don't know why2, battery drain is abnormal . If i play a game for 1 hour or so it drains like 8 to 12 percent of charge normal right ?. But it drains 4-6 percent charge in 1 hour when left untouched even when the screen is off .But a update arrived 2 days after my purchase . It resolved the battery issue and sorta reduced the heating. Its been 2 more days after the update and I don't face the previous problems  ,But got a new issue with the fingerprint , its slow really slow . Hope they fix this too in the upcoming update for us iqoo fans",OR,Neutral
"5.0 out of 5 stars
Bang for buck",5.0 out of 5 stars,I had preebooked this phone based on reviews on Chinese variants. I got for 34 k after all offers. I will summarise the review into pros and consPROS1)Flagship processor snapdragon gen 2 without any throttling issue.2) Best camera(especially potrait is superb) under 50k even better than OnePlus 12r3) Superb charging- 120 w . This is very important as you can charge with very less time.4) UFS 4.0 storage5) excellent gaming experience - I won't play game on phone much but for a gamer this phone is the way to go.6) Light weight and good haptic feedback7) Infrared range is good8) Screen size is best for watching moviesCons1) The build quality is not that good - only thing is better to use screen protector and case which many of you will be using.2) Display is so much brighter. But when you are watching HDR movies the colours are natural which many people like but for some little saturation of colours feels good,OR,Neutral
"4.0 out of 5 stars
Performance beast with some minor flaws",4.0 out of 5 stars,"I bought this phone on first sale, my requirement were raw power and good display, both are excellent in this phone.I'll post detailed experience soon.Observation so far :My previous phone is LG G8X, compared to that this phones build quality doesn't feel premium. It's ok build, you'll have to buy some good case to protect against drop. Also this doesn't have good water resistant rating.There is no Dolby or any other audio enhancement.Funtouch OS is not that refined, for example*If you rotate your phone when auto rotation is off, in my old phone I used to get a small icon to rorate manually. This doesn't has it.*If you've connected multiple blootooth devices, switching between devices not that convenient.*Lock screen and home screen customisation not that good, dark mode has only dark black but i prefer light grey and so on.I think they can add such small but must features via software updates.Some of things I love-*If you've bought this phone, please try rhythmatic vibration for Incoming calls and alarms, it's really cool. Although haptic feedback could've been better.*Performance is really good, opening and closing apps are really fast and animation are smooth(which you can customise).*Games run in high frame rates with no hiccups. Even in hot drops.( I've tried BGMI, COD, New state many others)*Screen is bright,crip, colours are punchy and refresh rate is buttery smooth. Bezels are narrow and almost uniform which is aesthetically pleasing.* Battery backup is pretty good, on top of that charging is crazy fast. Which componsates wireless charging. (Within 20-30 min 100%)* IR blaster :)Some of the things I don't like -* Main camera takes decent photos, stabilization is not that good.(If you have time and know how to edit photos ,you can fully utilise main camera capabilities in manual mode.)My 4 year old LG takes far better photos.*Ultra wide is very bad. It should've been atleast 13MP sensor.*Videos are not that good.*Front camera is also not good. It's below average.*NFC is missing.",OR,Neutral
"4.0 out of 5 stars
Overall Best & Beast under 35k🔥",4.0 out of 5 stars,"1st of all I got (8/256 GB) at 32300/- with Pre-booking & Bank discount....Best device in all sense at 35k.Display - 9/10 (1.5k, LTPO, 144Hz Just  Dolby Vision absent)Multimedia - 10/10 ( Superb Video output  & stereo speakers are  upto point loud & base  is perfect)Camera - For Backside 9/10 ( Nice details &  HDR balance also 2X portraits are  just lit)  For Front 8/10 ( Sharpens photos  & even without any filters it edits  photos for social media ready)Battery - 9/10 (As I only use it for gaming  so I am getting around 5 Hrs of  SOT but with Normal usage like  1/2 hrs gaming & YouTube or  social media usage you can  easily get 6hrs + SOT)Gaming & Heating - 10/10 for gaming  (Thanks to the SD 8 Gen 2 &  Supercomputing Chip Q1 literally I  can  play CODM at 144 Hz & the  LPDDR 5X Ram & UFS 4.0 storage  makes the experience buttery.  smooth)  Also Heating issues are there little  bit.I was using Poco F5 previously  but Iqoo heats up more than my  F5.May be I have the glass variant or  something else but surely its not  overheating .As the Device is new also been using it for 4 days only can't bargain more .I think the little flaws present in the device can be 100% cleared up by 1/2 upcoming updates .so don't think much try to grab it with the best offers you can....Thanks Iqoo.Literally Nailed it this time🔥🥳",OR,Neutral
"5.0 out of 5 stars
All Rounder Performance",5.0 out of 5 stars,"This is my one week review.Pros:Display is smooth.Performance is at it's peak.Battery life is good, easily lasts 16 hours for moderate user and 7 hours for heavy usage.Charging speed is awesome.Fresh, Unique and Cool design.Good Camera Sensor.Cons:Lack of NFC in this price range.Build quality is okayish, could have been more sturdy.But adding plastic frame gives you light weight and no pain while using phone for long-time.Overall, this IQOO Neo 9 Pro is champ phone if you don't use NFC in your day to day life.",OR,Negative
"5.0 out of 5 stars
Best phone under 40k",5.0 out of 5 stars,"Pros1.Battery - 5160mah battery backup is awsome.It lasts for a full day on moderate usage.2.Charging-  Even though it comes with a 120w charger, phone doesn't get hot.it just gets slightly warm.It takes around 35 mins to charge fully3.Display - 1.5 k resolution display is just wow and crystal clear.Colors are more accurate.4.Camera - primary camera imx 920 clicks superb pictures in 1x and 2x and video recording is super stable at 4k 30fps and 1080p 60 fps.5.No heating issue - Doesn't get too hot even on heavy usage because of vapour chamber cooling.6.Speaker - It offers a dual stereo speaker setup which is loud enough and crystal clear while it's competitor V30 pro and Reno 11 pro are offering useless single bottom firing speaker which is loud but produces distorted audio.7.UFS 4.0 - installing apps and transferring files are ultra fast.8.Bezels - Bezels are too slim on all four sides and has more screen to body ratio.Cons1.Ultrawide camera - 8MP is not so good but clicks some decent pictures.2.Main camera - is good at 1x and 2x but loses details at 4x and 5x.3.Front camera - 16 MP camera cutout is too big.It produces decent pictures with good detailing and skin tone but don't expect too much.4.Phone is lightweight and can be handled with one hand but is too thick when used with a case.5.OS - Funtouch os may not be too good aesthetically compared to oxygen OS and Realme ui but has many customizations and features.Overall a Worth for money smartphone under 40kCompared to OnePlus 12r,Vivo V30 pro and Oppo Reno 11 pro.Go for it.The real flagship killer😍🥰🥳",OR,Negative
"4.0 out of 5 stars
Perfect flagship killer in the segment",4.0 out of 5 stars,"A perfect phone at this price range. The iQOO Neo 9 Pro is a mid-range flagship phone with a focus on performance. It has a powerful Snapdragon 8 Gen 2 processor up to 12GB of RAM and a 144Hz LTPO AMOLED display. Although 144 hz feature is only available for gaming. The camera system is decent, but not great, with a 50MP primary sensor and an 8MP ultra-wide sensor, the main 50 MP sensor is good enough for day to day nornal photography and 8 MP sensor is average, battery life is good, and the phone supports fast charging and the speed of charging is mesmerizing. The most important thing to mention that unlike other brands you will get 120W charger in the box which is best thing. Moreover, there are some pre-installed applications in the phone which I think don't need to be there. Overall, the iQOO Neo 9 Pro is a good option for gamers and power users who are looking for a phone with a lot of performance for the price.Here are some key pros and cons of the iQOO Neo 9 Pro:Pros: * Powerful performance * Smooth display * Good battery life * Fast chargingCons: * Average camera system * Not the cleanest user interface",OR,Neutral
"5.0 out of 5 stars
Best overall phone",5.0 out of 5 stars,"I am using this phone for the last 7 days and sharing my experience with the phoneLook & Feel-  I purchased leather back model which does not feel premium but the phone is lightweight and easy to hold. I prefer to have a lightweight phone over a premium feeling heavy phone so it's ok for me.Display- gorgeous and super smooth.lots of option to enhance the quality of display as per user's requirements.Performance - Undoubtedly performance is top notch.No hiccups whatsoever.UI- Very smooth and user friendly but lots of annoying notifications from various apps.But the good thing is that you can disable all the notifications from settings and uninstall unnecessary apps 👍👍Gaming - I am a casual gamer so can't comment on hardcore gaming performance.Camera- photos taken with primary camera is excellent ,both in day and night.It captures sufficient amount of details. Portrait photos are really good. Zoomed photos are not good...it lack details. Not impressed by the video quality....just ok for the price range.Audio- Loudspeakers are sufficiently loud and clear,bass is on the lower side.Sound through earphone is loud and clear with good bass and after some tweaks it's good to enjoy.Battery -I am a casual user and don't put the phone to much stress and for me the battery is very impressive.Battery draining in idle condition is also ok but could have been better.Heating - the phone does heat (not overheat ) in normal usage but that too I didn't expected from a phone claiming to be a gaming phone.Company must must solve the issue with update.Overall it's a good phone and if company through updates solve minor issues it will be the best phone under 40k",OR,Neutral
"5.0 out of 5 stars
True Flagship",5.0 out of 5 stars,"Perfect combination of Design and Performance:a). Performance: Snapdragon 8 Gen 2 provides a really seamless experience without any lag. Storage of 256GB was also one factor to go ahead with this.b). Design: i really like its refreshing dual tone leather design.c). Camera: it was exceptionally well even better than my expectations. night shots are really coming out good and the portrait is also amazing.Additionally, it has a very bright display and 120w fast charging which makes this a true flagship device.",OR,Neutral
"5.0 out of 5 stars
Go for it",5.0 out of 5 stars,"12/256. Very nice flagship killer, premium look, nice camera, praform very nicely any task, battery also good, sufficient for one day use, charging speed also very good, display very nice, UI Very simple. Overall good good 👍👍👍. I exchange with my moto g40, delivery person is very supportive person, he helped me very much.",CG,Neutral
"3.0 out of 5 stars
Like a hot toast of bread always",3.0 out of 5 stars,"I got the phone 1 week back . There are 2 things i like point out1, phone is always warm even on flight mode , don't know why2, battery drain is abnormal . If i play a game for 1 hour or so it drains like 8 to 12 percent of charge normal right ?. But it drains 4-6 percent charge in 1 hour when left untouched even when the screen is off .But a update arrived 2 days after my purchase . It resolved the battery issue and sorta reduced the heating. Its been 2 more days after the update and I don't face the previous problems  ,But got a new issue with the fingerprint , its slow really slow . Hope they fix this too in the upcoming update for us iqoo fans",OR,Neutral
"5.0 out of 5 stars
Bang for buck",5.0 out of 5 stars,I had preebooked this phone based on reviews on Chinese variants. I got for 34 k after all offers. I will summarise the review into pros and consPROS1)Flagship processor snapdragon gen 2 without any throttling issue.2) Best camera(especially potrait is superb) under 50k even better than OnePlus 12r3) Superb charging- 120 w . This is very important as you can charge with very less time.4) UFS 4.0 storage5) excellent gaming experience - I won't play game on phone much but for a gamer this phone is the way to go.6) Light weight and good haptic feedback7) Infrared range is good8) Screen size is best for watching moviesCons1) The build quality is not that good - only thing is better to use screen protector and case which many of you will be using.2) Display is so much brighter. But when you are watching HDR movies the colours are natural which many people like but for some little saturation of colours feels good,OR,Neutral
"4.0 out of 5 stars
Performance beast with some minor flaws",4.0 out of 5 stars,"I bought this phone on first sale, my requirement were raw power and good display, both are excellent in this phone.I'll post detailed experience soon.Observation so far :My previous phone is LG G8X, compared to that this phones build quality doesn't feel premium. It's ok build, you'll have to buy some good case to protect against drop. Also this doesn't have good water resistant rating.There is no Dolby or any other audio enhancement.Funtouch OS is not that refined, for example*If you rotate your phone when auto rotation is off, in my old phone I used to get a small icon to rorate manually. This doesn't has it.*If you've connected multiple blootooth devices, switching between devices not that convenient.*Lock screen and home screen customisation not that good, dark mode has only dark black but i prefer light grey and so on.I think they can add such small but must features via software updates.Some of things I love-*If you've bought this phone, please try rhythmatic vibration for Incoming calls and alarms, it's really cool. Although haptic feedback could've been better.*Performance is really good, opening and closing apps are really fast and animation are smooth(which you can customise).*Games run in high frame rates with no hiccups. Even in hot drops.( I've tried BGMI, COD, New state many others)*Screen is bright,crip, colours are punchy and refresh rate is buttery smooth. Bezels are narrow and almost uniform which is aesthetically pleasing.* Battery backup is pretty good, on top of that charging is crazy fast. Which componsates wireless charging. (Within 20-30 min 100%)* IR blaster :)Some of the things I don't like -* Main camera takes decent photos, stabilization is not that good.(If you have time and know how to edit photos ,you can fully utilise main camera capabilities in manual mode.)My 4 year old LG takes far better photos.*Ultra wide is very bad. It should've been atleast 13MP sensor.*Videos are not that good.*Front camera is also not good. It's below average.*NFC is missing.",OR,Neutral
"4.0 out of 5 stars
Overall Best & Beast under 35k🔥",4.0 out of 5 stars,"1st of all I got (8/256 GB) at 32300/- with Pre-booking & Bank discount....Best device in all sense at 35k.Display - 9/10 (1.5k, LTPO, 144Hz Just  Dolby Vision absent)Multimedia - 10/10 ( Superb Video output  & stereo speakers are  upto point loud & base  is perfect)Camera - For Backside 9/10 ( Nice details &  HDR balance also 2X portraits are  just lit)  For Front 8/10 ( Sharpens photos  & even without any filters it edits  photos for social media ready)Battery - 9/10 (As I only use it for gaming  so I am getting around 5 Hrs of  SOT but with Normal usage like  1/2 hrs gaming & YouTube or  social media usage you can  easily get 6hrs + SOT)Gaming & Heating - 10/10 for gaming  (Thanks to the SD 8 Gen 2 &  Supercomputing Chip Q1 literally I  can  play CODM at 144 Hz & the  LPDDR 5X Ram & UFS 4.0 storage  makes the experience buttery.  smooth)  Also Heating issues are there little  bit.I was using Poco F5 previously  but Iqoo heats up more than my  F5.May be I have the glass variant or  something else but surely its not  overheating .As the Device is new also been using it for 4 days only can't bargain more .I think the little flaws present in the device can be 100% cleared up by 1/2 upcoming updates .so don't think much try to grab it with the best offers you can....Thanks Iqoo.Literally Nailed it this time🔥🥳",OR,Neutral
